match_id,inning,batting_team,total_runs
1136616,1,Kings XI Punjab,153
1136617,1,Sunrisers Hyderabad,139
1136618,1,Kolkata Knight Riders,169
1136619,1,Sunrisers Hyderabad,174
1136620,1,Sunrisers Hyderabad,178
1175356,1,Royal Challengers Bangalore,70
1175357,1,Sunrisers Hyderabad,181
1175358,1,Delhi Capitals,213
1175359,1,Kings XI Punjab,184
1175360,1,Delhi Capitals,147
1175361,1,Kolkata Knight Riders,218
1175362,1,Mumbai Indians,187
1175363,1,Rajasthan Royals,198
1175364,1,Mumbai Indians,176
1175365,1,Kolkata Knight Riders,185
1175366,1,Sunrisers Hyderabad,231
1175367,1,Chennai Super Kings,175
1175368,1,Kings XI Punjab,166
1175369,1,Royal Challengers Bangalore,158
1175370,1,Mumbai Indians,170
1175371,1,Delhi Capitals,129
1175372,1,Royal Challengers Bangalore,205
1178393,1,Chennai Super Kings,160
1178394,1,Mumbai Indians,136
1178395,1,Royal Challengers Bangalore,149
1178396,1,Rajasthan Royals,139
1178397,1,Sunrisers Hyderabad,150
1178398,1,Kolkata Knight Riders,108
1178399,1,Kings XI Punjab,197
1178400,1,Rajasthan Royals,151
1178401,1,Kolkata Knight Riders,178
1178402,1,Mumbai Indians,187
1178403,1,Kings XI Punjab,173
1178404,1,Kolkata Knight Riders,161
1178405,1,Delhi Capitals,155
1178406,1,Royal Challengers Bangalore,171
1178407,1,Kings XI Punjab,182
1178408,1,Chennai Super Kings,132
1178409,1,Mumbai Indians,168
1178410,1,Royal Challengers Bangalore,213
1178411,1,Mumbai Indians,161
1178412,1,Kings XI Punjab,163
1178413,1,Kolkata Knight Riders,159
1178414,1,Royal Challengers Bangalore,161
1178415,1,Rajasthan Royals,191
1178416,1,Sunrisers Hyderabad,175
1178417,1,Royal Challengers Bangalore,202
1178418,1,Kolkata Knight Riders,175
1178419,1,Mumbai Indians,155
1178420,1,Sunrisers Hyderabad,160
1178421,1,Delhi Capitals,187
1178422,1,Kolkata Knight Riders,232
1178423,1,Sunrisers Hyderabad,212
1178424,1,Royal Challengers Bangalore,62
1178425,1,Chennai Super Kings,179
1178426,1,Mumbai Indians,162
1178427,1,Kings XI Punjab,183
1178428,1,Rajasthan Royals,115
1178429,1,Sunrisers Hyderabad,175
1178430,1,Chennai Super Kings,170
1178431,1,Kolkata Knight Riders,133
1181764,1,Chennai Super Kings,131
1181766,1,Sunrisers Hyderabad,162
1181767,1,Delhi Capitals,147
1181768,1,Mumbai Indians,149
1216492,1,Mumbai Indians,162
1216493,1,Delhi Capitals,157
1216494,1,Kolkata Knight Riders,84
1216495,1,Mumbai Indians,149
1216496,1,Rajasthan Royals,216
1216497,1,Kolkata Knight Riders,194
1216498,1,Kings XI Punjab,126
1216499,1,Royal Challengers Bangalore,164
1216500,1,Delhi Capitals,184
1216501,1,Kolkata Knight Riders,167
1216502,1,Royal Challengers Bangalore,120
1216503,1,Mumbai Indians,191
1216504,1,Kolkata Knight Riders,174
1216505,1,Royal Challengers Bangalore,152
1216506,1,Kings XI Punjab,153
1216507,1,Sunrisers Hyderabad,158
1216508,1,Mumbai Indians,195
1216509,1,Chennai Super Kings,179
1216510,1,Kings XI Punjab,206
1216511,1,Mumbai Indians,193
1216512,1,Kolkata Knight Riders,163
